Mes,Aprueba,Desaprueba,NS/NC
2014-12,62,12,26
2015-01,60,10,30
2015-02,63,21,16
2015-03,71,15,14
2015-04,58,30,12
2015-05,50,41,9
2015-06,61,32,7
2015-07,62,29,9
2015-08,65,27,8
