Mes,Aprueba,Desaprueba,NS/NC
2013-08,35,58,7
2013-09,32,62,6
2013-10,30,63,7
2013-11,35,60,5
2013-12,31,61,8
2014-01,31,64,5
2014-02,39,56,5
2014-03,24,71,5
2014-04,28,67,5
2014-05,28,67,5
2014-06,25,68,7
2014-07,24,70,6
2014-08,32,64,4
2014-09,30,65,5
2014-10,33,61,6
2014-11,33,62,5
2014-12,32,64,4
2015-01,28,67,5
2015-02,28,67,5
2015-03,28,67,5
2015-04,27,67,6
2015-05,28,67,5
2015-06,14,82,4
2015-07,18,77,5
2015-08,23,73,4
